id,latitude,longitude,name,zone
725,51.6717,0.1033,Theydon Bois,6
726,51.4361,-0.1598,Tooting Bec,3
727,51.4275,-0.168,Tooting Broadway,3
728,51.5165,-0.131,Tottenham Court Road,1
729,51.5882,-0.0594,Tottenham Hale,3
730,51.6302,-0.1791,Totteridge & Whetstone,4
731,51.5098,-0.0766,Tower Hill,1
733,51.5567,-0.1374,Tufnell Park,2
734,51.4951,-0.2547,Turnham Green,2.5
735,51.5904,-0.1028,Turnpike Lane,3
736,51.559,0.251,Upminster,6
737,51.5582,0.2343,Upminster Bridge,6
738,51.5385,0.1014,Upney,4
739,51.5352,0.0343,Upton Park,3
740,51.5463,-0.4786,Uxbridge,6
777,51.4861,-0.1253,Vauxhall,1.5
741,51.4965,-0.1447,Victoria,1
742,51.583,-0.0195,Walthamstow Central,3
743,51.5775,0.0288,Wanstead,4
745,51.5247,-0.1384,Warren Street,1
746,51.5235,-0.1835,Warwick Avenue,2
747,51.5036,-0.1143,Waterloo,1
748,51.6573,-0.4177,Watford,8
751,51.5519,-0.2963,Wembley Central,4
752,51.5635,-0.2795,Wembley Park,4
753,51.518,-0.2809,West Acton,3
755,51.4872,-0.1953,West Brompton,2
756,51.6095,-0.1883,West Finchley,4
757,51.5287,0.0056,West Ham,3
758,51.5469,-0.1906,West Hampstead,2
759,51.5795,-0.3533,West Harrow,5
760,51.4907,-0.2065,West Kensington,2
762,51.5696,-0.4376,West Ruislip,6
754,51.521,-0.2011,Westbourne Park,2
761,51.501,-0.1254,Westminster,1
764,51.512,-0.2239,White City,2
763,51.5194,-0.0612,Whitechapel,2
765,51.5492,-0.2215,Willesden Green,2.5
766,51.5326,-0.2478,Willesden Junction,3
767,51.4214,-0.2064,Wimbledon,3
768,51.4343,-0.1992,Wimbledon Park,3
770,51.5975,-0.1097,Wood Green,3
599,51.5097972,-0.22417,Wood Lane,2
769,51.607,0.0341,Woodford,4
771,51.6179,-0.1856,Woodside Park,4
